x,y,z
8.523534,4.6944075,8.721131
8.064334,5.0292997,8.466122
7.781055,5.814685,8.475002
8.55062,4.9820795,8.688944
9.1713295,6.459671,8.470358
8.060467,5.4653516,8.032967
8.268572,6.0179462,8.434041
8.3092,5.008082,8.334127
7.796916,5.250944,8.812233
8.409004,4.860642,7.8147364
9.89681,4.0755324,7.0500493
9.231693,4.989646,8.977673
9.1273,4.510286,8.249535
10.14176,4.894959,8.652991
8.816472,4.7000875,8.094424
8.447072,5.783248,8.234423
8.132998,6.066006,8.645623
9.289649,5.2529607,7.6577573
7.836402,6.121807,8.613277
8.234123,5.3493347,7.705082
7.5017076,5.100887,8.066461
9.5420885,4.1762576,7.247264
7.9396772,5.2746973,7.734411
8.7215,5.097182,8.788851
8.248022,5.3841515,9.018764
8.246719,4.919871,7.9484944
9.811878,4.047281,7.15759
8.803921,6.1243973,8.127815
8.557612,4.755409,7.9518547
8.785521,6.683715,7.9459395
8.756631,6.0494137,8.098305
8.082071,5.5302043,8.123834
7.892781,5.7536917,7.918751
8.157056,4.7144923,7.501527
7.903013,4.886468,8.258689
8.466298,6.5095954,8.713698
9.156468,4.3301115,8.037881
9.1769,5.5460944,9.072188
7.521211,5.0538573,8.475762
8.294674,5.6532345,8.098027
8.484787,4.755978,8.059027
9.179334,5.9999194,8.048091
7.7080026,5.1851325,8.874896
8.150504,5.4188733,8.16102
9.461346,3.9849658,7.051024
8.886567,5.977272,8.404082
8.260301,4.352158,7.7826204
8.021558,5.587943,8.128796
8.100892,6.048328,8.097916
8.188774,4.570871,7.494266
8.670862,4.7310944,8.120565
8.740088,4.800955,7.9919314
7.7317343,5.6815495,7.8806996
7.968849,4.6800733,8.247198
8.085621,5.3736897,7.633416
8.494758,4.442063,8.561802
8.3380995,4.5686464,7.7712264
8.558929,4.3794727,8.238018
8.253369,4.7227607,8.357252
7.615151,5.0662894,8.684912
9.25365,4.221753,7.9102225
9.00443,5.673563,8.617807
7.7814636,5.9296684,7.9531307
8.815174,5.025136,7.5769234
8.432251,4.13328,8.011681
8.118161,5.265117,8.04891
8.526545,5.689127,7.9936676
8.500144,5.48274,8.138489
8.506969,4.865774,7.5059285
8.618436,4.388952,7.6814523
7.8753576,4.9558444,8.902684
7.763595,4.9093723,8.298372
8.724222,5.8672614,8.6626625
10.012402,4.755518,8.649361
8.729404,5.163049,8.981237
8.3417015,5.3783965,8.803444
9.098698,5.636394,8.856879
8.253014,4.5673313,7.585654
7.783802,5.7197614,8.629232
10.417456,4.1776886,6.8971095
8.896623,5.6165576,8.395988
9.585405,4.6867056,8.489703
8.996797,4.382264,7.9393344
8.130127,4.8385277,7.6333685
8.318281,5.3331122,8.813747
8.085158,5.688667,8.319294
8.171287,4.386883,8.124149
8.778345,5.237429,9.050943
9.128384,5.5497727,8.662604
8.578936,4.136078,7.518405
8.448114,5.554266,8.870078
8.063388,6.3693557,8.494341
8.798559,4.71907,7.5475655
8.485571,4.250397,7.909753
7.718136,5.2538176,8.552856
10.082761,4.806315,8.664525
8.352259,6.1874356,7.8379326
8.039282,4.3989167,7.6442294
7.9727063,5.166768,7.9233713
8.5338335,4.735701,7.7901897
8.4734,5.9822083,8.271996
8.778839,5.2158246,8.460111
8.369513,5.6949825,9.092489
8.259855,5.3219385,7.743063
7.7188935,4.8734446,8.348271
8.552984,4.1787095,7.5870204
7.62176,5.4377775,8.650996
10.226301,4.949542,8.724127
8.47117,4.3932176,7.609181
7.9027658,4.6999893,7.794131
8.264268,5.9639792,7.69626
8.8846445,5.5177035,8.058628
9.537667,4.0762568,7.403997
7.729847,5.1448016,8.403318
8.308511,6.123039,8.422534
9.045003,4.804133,8.527081
7.927127,5.434268,8.993311
8.062616,6.1607223,8.0697
9.945568,4.2424955,7.2003794
9.384432,4.615506,8.226232
8.068519,5.614065,8.192012
8.0217,5.172346,8.950326
8.029213,5.6978354,7.8709292
7.601641,5.280924,8.47874
7.5867767,5.451306,8.5963745
8.296185,5.2509027,7.3355694
7.9805613,4.983493,8.188065
8.964481,4.8473024,7.5576534
8.856858,4.818919,8.742238
10.167571,4.302585,6.7604313
8.38582,5.9752016,8.992137
8.808319,4.2555714,8.461863
8.109274,5.7056837,8.578581
9.601088,4.622049,8.493824
8.253704,5.0016656,8.415207
8.32877,4.494148,8.654281
8.393366,5.642285,8.67204
9.58762,4.070473,6.7750773
9.4564085,4.433276,7.1375947
8.613678,5.441343,8.016203
8.410695,6.0813046,8.501541
7.6960173,5.43534,8.435441
7.942972,5.290738,8.828905
9.329206,4.486494,8.3212385
7.6471095,5.961143,8.520458
10.239791,5.980388,7.791613
7.5023117,4.9533696,8.145458
7.8914313,6.286406,8.265948
8.618695,5.1115155,9.068812
8.17179,5.4182696,7.6115746
7.5800076,4.745946,8.631667
7.784859,6.060136,8.635123
8.792578,4.6668057,8.50437
7.4823866,5.2096252,8.10928
8.732455,6.086031,8.190242
7.8467636,5.1129336,8.337281
8.395165,5.510247,8.790005
8.265084,4.537344,8.6475525
8.091768,5.504123,7.8723745
9.996937,4.6454678,8.408832
8.309958,4.9758935,8.96992
8.162589,4.918545,7.497611
9.12786,6.171804,8.096176
8.761827,5.482798,9.117273
8.976923,4.535545,8.609972
8.350699,4.8067594,7.6484456
7.700523,4.871753,7.976958
8.24436,4.3804326,7.8756776
7.991097,6.062848,7.865739
9.469398,4.0840254,7.202144
10.098489,4.297016,7.056198
8.734955,4.412988,7.913553
7.847141,5.1871233,7.7618575
8.022136,4.8046026,7.9048934
8.482055,5.1145635,7.6345897
8.495857,4.9122005,7.75921
8.229594,4.340798,8.151396
8.698615,4.4353848,8.375508
9.898025,5.1789575,8.756901
8.414858,4.1764293,7.6198606
9.7654,5.2774405,7.876381
7.662514,5.681125,8.000369
8.819,5.4080276,8.30959
10.110654,5.7766,7.7206655
9.065871,4.122297,8.332121
8.031627,5.7684717,8.491643
8.403059,4.4872,7.9051023
7.8042994,5.322079,8.979635
7.709218,5.307333,8.115694
7.8220654,5.0223484,7.9157357
7.6744576,4.754109,8.009295
8.550802,4.6295567,7.389452
8.475268,4.9414644,8.68228
8.156486,4.9855623,7.4870644
8.828325,4.7043285,8.630864
7.921964,5.0056667,8.024272
8.420542,5.3356633,8.773109
8.021895,5.070664,7.648813
8.800482,5.6816583,8.968222
9.960378,4.5641522,8.372855
8.087097,4.889261,8.855003
8.118803,5.150162,8.279777
8.083974,4.4209595,7.766958
8.548095,5.480253,7.5245786
8.426695,5.639343,7.731136
8.848365,4.275446,8.081694
8.462221,5.17822,8.190694
8.081289,5.3584943,8.8346815
8.316709,5.297571,8.274983
7.687966,5.2307487,8.251841
8.657883,4.401497,8.358439
8.283197,4.992003,7.7562575
7.843677,4.6619444,8.63143
8.586208,5.1305614,7.9022694
8.598468,6.059395,8.432737
8.453436,6.002858,7.97364
9.290846,6.159312,8.178231
8.133661,5.052544,7.9621606
8.201822,5.183011,8.999728
8.097775,4.4091706,8.109947
8.558192,4.323879,7.8100114
8.2090435,5.266542,8.926614
8.966188,5.525728,9.002995
7.7825584,4.973264,8.306018
8.375998,6.140227,8.126901
7.636068,5.5727744,8.557424
8.996308,5.427313,8.653461
9.189324,4.078312,7.408205
8.058295,5.6660705,8.119033
7.5726066,5.908684,8.419619
8.203959,5.675247,8.22123
8.727894,4.2437696,8.239192
8.177504,5.325264,8.045995
9.477376,4.5412054,8.587759
8.089518,5.565187,7.744903
7.601513,5.1257787,8.298165
8.514396,4.7015758,8.019314
8.591859,5.0285378,7.766444
7.7826886,5.5461984,7.8657994
8.801648,6.214797,8.225141
9.23646,5.1092362,8.715998
7.6743336,5.6939054,8.153258
9.105375,4.493528,8.008217
9.219417,4.5607886,8.224029
10.010824,5.0334945,8.875859
9.834313,4.4572554,8.405129
9.536991,5.159074,8.917075
8.515425,5.4522676,8.647497
8.559579,6.0649447,7.765379
8.135503,5.280636,8.507025
8.576003,4.7259426,7.3663044
7.6841903,5.9222097,8.194048
9.172177,5.7193007,8.885823
8.046702,5.4250455,8.817175
7.859932,5.9341264,7.879225
8.253895,4.7798624,8.162895
9.785236,4.649079,8.167034
8.009258,4.6569915,7.6545677
9.670857,4.176353,7.0028753
9.589064,4.777845,8.814315
8.321528,4.482388,8.196517
8.937832,4.9834304,8.126362
8.5175295,4.4118023,7.8208356
8.53363,5.8236985,8.443923
8.053293,4.1846805,8.037124
8.124452,5.006537,8.435451
7.6964164,5.7702007,8.043395
9.018711,4.377902,8.611512
8.179679,5.449006,8.722979
7.6571813,5.5862865,8.739631
8.684675,5.121283,7.998402
8.854463,4.5516863,8.151375
7.883858,5.8946347,8.327891
8.069846,5.014987,8.065778
9.910018,5.1451445,8.903429
8.095582,5.8903623,8.048507
9.215975,5.2626543,8.458854
9.642275,4.1439843,6.9560995
8.840854,4.428441,8.329296
7.9886527,5.1053724,8.318042
7.5092983,5.5354114,8.017088
8.319746,4.1741457,8.107691
8.800337,4.852931,8.513438
8.149302,5.6630993,8.12908
9.737166,4.1792116,7.2563205
7.7042327,5.236914,8.592415
8.315669,6.0155063,7.779702
8.3756485,4.3378506,8.574147
9.554866,4.48806,8.354321
8.030427,4.472163,8.139124
8.64154,5.2628455,8.048396
8.6938305,5.2262836,8.829798
7.7543726,5.7199364,8.379197
7.87698,4.656697,8.415141
8.181354,5.4449835,7.5854244
8.807794,4.1374264,8.295867
9.114842,5.9357276,7.5407133
8.410116,4.9637337,8.388301
8.839869,6.034898,8.551137
8.300323,6.128168,8.571633
8.77399,4.445489,8.461392
8.987065,4.7132626,8.200801
8.434512,5.191442,8.493299
7.710885,5.5742054,8.791249
8.849757,4.4537044,8.191075
7.680454,4.7292843,8.426953
7.9156685,4.5244884,8.082692
8.670492,4.1351395,7.743684
7.898494,5.026061,8.121122
7.9572053,4.460694,8.280428
10.147437,4.640229,6.546511
8.673547,4.8777127,7.972759
8.300353,6.3804603,7.9150496
8.231408,5.4783707,8.969811
8.647634,5.0650096,8.583912
9.020916,5.01416,8.678214
8.86666,5.7057867,8.240858
8.050793,5.1263347,8.248035
8.505694,5.9984946,8.589034
8.351607,4.6149073,7.8493752
8.540511,5.5728073,8.338886
8.6679535,5.147501,8.413328
7.7830987,5.2220016,8.348184
8.069381,6.4214797,8.150734
9.584912,4.926517,8.929717
9.816474,4.2768335,8.001775
7.495914,5.0124674,8.395862
8.086369,4.550189,7.849062
10.43307,4.658153,6.2786164
9.268202,4.668968,8.6765175
7.895576,5.2269044,8.315219
8.7274885,4.652018,8.315348
-21.61056,28.79234,0.35621762
8.799851,4.493608,8.722119
7.726875,5.541022,8.167362
8.188454,5.8881783,7.7525997
8.031392,5.3101673,7.759855
8.594626,4.8657894,8.719907
8.033746,5.0835485,7.831769
8.365728,5.76958,8.437243
8.361635,4.672547,8.199097
8.653826,4.796592,7.728691
7.99013,4.569237,8.62643
7.906014,5.6109047,8.506769
7.740008,5.616385,8.593219
10.478032,4.373044,7.466429
10.316678,4.819031,8.458968
8.358412,5.3579974,7.4804173
7.8677263,4.715629,8.236682
8.999548,4.4161396,8.507973
9.877972,5.7627172,8.564503
9.400019,5.0580254,8.47528
7.985214,5.988999,8.238082
8.800689,6.4416895,8.081459
8.286851,5.8583446,7.937697
8.487713,5.43016,9.013768
8.418651,4.4256487,8.778181
8.674912,6.2081594,8.737475
7.5336704,4.943275,8.40881
8.442475,6.256398,8.879945
8.118577,5.1756935,8.970143
7.759102,5.2631297,8.735403
8.584437,4.2497296,7.848695
8.097771,4.642191,8.2384405
7.7991567,4.9546447,8.838943
7.77174,5.2940083,8.600344
8.010063,5.5438113,7.7840223
7.994467,5.1041646,8.057451
8.310177,5.216493,8.339758
8.371321,4.725771,7.4992933
8.201361,5.1027417,8.744998
8.157199,4.161012,8.237419
7.9139895,4.72471,7.9417725
9.752782,4.302778,6.9641666
8.914422,4.916042,8.699275
7.710125,5.111803,8.923621
8.053379,5.2955437,8.929372
8.652352,4.5176272,7.677326
8.305501,5.2957106,8.862066
8.347608,4.829479,7.3524456
9.669567,4.7517853,8.7941675
8.031321,5.280214,7.615272
8.5345545,6.09547,8.088027
8.20977,4.8148813,8.900093
7.7950873,5.3881407,8.034031
8.482844,5.8546643,8.252452
7.7178307,4.8909583,8.369087
8.550062,6.1980243,8.15563
8.985471,4.3284698,7.4010825
8.318064,5.4384522,8.931095
8.101249,5.4333367,7.651208
8.150497,4.41433,8.351989
9.07882,4.0194035,7.627262
8.155262,5.908207,8.74351
8.947329,5.746517,8.335959
10.497682,4.50973,6.5153923
8.80762,5.5378537,9.074509
8.386246,5.4590197,8.260802
8.609659,5.401451,7.6618824
8.047045,6.337686,8.456362
10.171987,4.4807034,8.446654
9.3342,4.4382977,8.238568
10.114153,4.2089205,6.9909506
9.012306,5.2338014,8.940808
9.24097,4.67699,8.161282
-20.082272,28.738749,1.3867358
9.039281,5.7588987,8.905522
9.462189,4.789895,8.1739645
8.777125,4.7361174,8.241988
9.060501,5.95056,8.150959
7.602478,5.6209874,8.24125
9.078327,4.9459653,8.395109
8.95725,5.412283,8.23661
8.93507,5.989443,8.88548
8.008953,5.720272,8.498433
7.938976,4.4717083,8.296403
8.279631,4.871415,8.463801
7.7124696,5.0170207,8.288045
8.789004,4.7688046,8.719246
7.5843086,4.8521147,8.2462845
8.878746,4.720053,8.6916485
8.056696,5.767629,9.087503
9.6411495,5.254084,8.75124
8.705474,4.977099,8.2885
9.561794,6.4038844,8.089635
7.6094627,5.4939485,8.379426
7.8389144,4.6798463,8.341278
8.799981,4.1139135,7.445091
8.3930855,4.9285207,8.423013
8.0183935,4.5966573,8.102989
8.5431185,5.43014,7.9952497
9.933491,4.7874637,8.485383
7.9178247,4.8112326,8.286277
8.059891,5.0181313,8.543331
8.134021,5.280004,8.11318
8.967588,6.7271733,8.209511
8.534201,4.7935286,8.544198
8.2887,4.443211,8.60053
8.779241,5.735809,8.225008
7.834315,5.0170593,8.638291
8.023127,5.352079,8.393263
8.5987625,4.5599985,7.7069883
8.122248,5.6479807,8.372595
9.090406,5.9334893,8.475976
9.132772,4.7890587,8.872978
9.188026,4.174501,7.4184756
8.752087,5.803062,8.847363
8.653103,4.9894757,8.069256
9.104338,5.432493,8.480024
8.018184,4.3330398,7.9225264
9.585905,5.2777605,8.987775
8.544859,5.0186176,7.3986564
9.839827,4.782588,8.626496
8.645176,5.0487266,8.123806
8.095292,4.3964005,8.144095
8.950154,4.071867,7.4868016
8.463233,5.283083,8.90163
9.746591,4.18993,7.281035
8.979839,5.1895432,8.319157
9.995735,4.8582573,8.461627
8.073191,5.4625998,8.362452
10.48443,4.406957,7.034775
9.719014,4.306378,7.1179
7.9411187,5.76559,8.818308
8.658046,4.3585534,7.265839
8.214466,4.619325,8.28854
8.617435,4.4237137,8.398869
9.167755,4.5674686,7.6637063
8.132976,4.8249784,7.7923784
8.695881,5.245812,8.9825535
8.354287,4.4065895,8.285886
8.963625,5.202291,8.509841
7.993058,4.3909373,8.008619
8.275971,4.7391944,8.0202
9.652438,6.2356834,7.581844
7.7310023,4.980883,8.026795
7.960523,5.025911,7.6457143
8.849216,5.0979586,8.646471
9.402869,4.4001164,7.9254627
7.6230307,5.844311,8.518446
8.376372,4.4392223,8.518356
8.762422,4.824756,8.78774
8.211114,6.0512676,8.265773
8.612754,5.8057437,8.702731
7.9671397,4.7060623,7.853798
8.129201,5.4041367,9.033263
8.504577,5.054958,7.796286
9.032625,4.368914,8.482181
8.292832,5.0514593,8.586488
10.231188,4.1002364,7.185624
8.569658,5.424939,8.676729
8.899629,4.3115315,8.221171
9.001253,4.1798625,7.098617
8.86268,4.6821938,7.701278
8.3434105,5.714345,7.842892
8.0831785,6.277797,8.366031
7.8142004,5.650314,8.57274
9.507273,4.4262223,8.422523
9.642071,4.187567,7.036696
8.379926,4.509762,7.743278
8.188532,5.808483,8.941422
8.8030615,4.7779984,8.1888275
7.955319,5.222974,7.631761
9.872751,4.3121443,8.154271
8.713908,5.907911,8.974085
9.375328,4.907899,8.627157
7.7177672,5.383139,8.500232
10.001327,4.9031534,8.803963
8.201607,4.4779205,7.6014414
7.972306,4.808329,8.6621685
8.183986,4.9802027,7.9621587
8.219592,4.7546673,8.501924
7.722195,4.606264,7.8682146
8.414244,4.5363173,7.754808
8.905904,5.4691763,8.875293
8.343282,5.4074125,7.7911654
8.689439,5.211432,8.62653
8.074355,5.475095,7.763995
8.487167,5.248633,8.890357
8.209944,5.1243653,8.3785925
8.989856,4.37186,8.107245
9.974426,4.840028,7.9599204
8.257334,5.493161,8.712062
9.673823,5.057097,8.892071
8.771992,4.516431,8.659858
8.937263,4.9413557,8.275094
7.5130367,5.469111,8.632233
8.766146,4.939388,8.709613
8.088657,5.7385893,7.975585
9.436248,4.7402678,8.471606
9.330514,4.060522,7.460068
9.002909,5.62948,8.648676
8.030567,5.543209,8.437107
8.144843,4.4541855,8.474005
9.017484,4.88408,8.186308
8.513263,4.21797,7.906306
9.586858,5.1235065,8.502145
7.6591864,5.316621,8.068647
8.450539,5.50563,8.461217
8.109691,5.14566,8.180292
7.8388076,5.4022927,8.910082
8.022957,4.916063,8.262072
8.420968,5.0191784,8.270152
8.185956,4.375449,7.785127
8.871277,6.197912,7.828595
8.134645,4.919122,8.414178
10.279761,4.557946,8.323056
7.5829287,5.4260654,8.736011
8.524892,4.542689,7.491545
8.482354,5.426184,8.181297
9.77352,4.237427,7.523075
7.622528,5.5915074,8.027531
8.130289,4.92675,8.948053
7.5268164,4.960356,8.406408
8.509535,5.854225,8.2114525
8.891703,5.889376,8.711596
7.706141,5.425239,7.8747435
9.802961,5.090203,8.68891
8.156697,5.5638833,8.691477
8.646541,5.607841,7.850784
9.109564,6.425027,8.504752
9.471378,6.1197643,8.0560255
8.383206,4.5763936,7.7357783
8.963506,4.316164,8.07426
7.8742213,5.850497,8.143741
8.235596,4.832629,8.500636
8.019645,4.893949,8.021107
7.7418675,4.7194715,8.307149
9.35635,4.984182,8.962706
8.219995,5.760992,8.738559
9.21299,5.7327113,8.823489
9.801786,4.8784585,8.667591
8.6607,5.021866,8.729593
8.665877,5.4502125,8.558422
8.145706,5.55155,8.432354
8.226421,5.723048,8.778172
8.161294,4.275827,7.6677756
8.091517,5.1407237,8.442762
8.892757,5.452183,8.928794
9.4087305,6.0366254,8.773873
8.678373,5.395434,8.025895
9.325098,5.911425,8.420695
8.726596,4.496432,8.398656
8.663297,5.9967055,8.8692665
8.135156,4.665729,8.927182
8.347464,5.473465,8.027609
7.7378316,5.3449225,8.054637
8.203911,4.7617674,8.428578
8.241124,5.548299,7.9167876
9.155138,4.0676007,7.454593
8.16962,4.2233496,8.15768
8.06807,4.91921,8.745429
8.586193,5.0022426,8.980001
8.567293,4.92585,8.865787
7.721995,5.2974887,8.56567
10.739173,4.2766604,7.146837
8.752489,5.0662894,8.025746
9.688309,4.53774,6.8041687
8.449522,5.2217484,8.851049
7.734031,4.5698857,8.320195
10.055914,5.830051,7.7854657
7.7883186,5.1616254,7.997697
8.538315,6.1969833,8.318965
8.040055,4.3333135,8.486167
9.996797,4.976832,8.541235
8.556677,4.6571856,8.553539
7.981315,4.5890794,7.9243712
7.9129415,4.4442205,8.286101
9.654388,4.973526,7.9774575
8.744479,5.685322,8.472855
8.154751,5.8188434,8.8898945
7.452731,5.4192743,8.337791
9.708124,5.929849,7.5695133
9.216417,5.9095073,8.86865
8.045779,5.2498136,8.274057
8.621933,5.281896,8.318862
7.863441,6.0936933,8.185887
8.028138,5.038113,8.542955
8.833706,5.7003145,8.608652
-20.823391,27.843042,0.85728467
8.124742,5.229551,8.971047
7.5389485,5.4697886,8.150423
8.316723,4.7865887,8.717244
7.9026537,5.0083404,8.675622
8.989684,4.1662507,7.5336003
9.538814,4.2491055,8.141239
7.861995,4.8992143,8.765975
9.892855,5.022731,8.753691
8.475248,5.5135627,8.138679
7.5383472,4.7994695,8.418777
8.69061,4.947015,8.437884
7.9219832,4.923929,8.502911
8.671833,5.0229993,8.095953
8.686685,5.630896,9.079775
8.971652,4.9896364,7.8428254
8.854654,6.3215976,8.078629
8.254064,6.4135547,8.502897
7.4599004,5.4232545,7.950848
9.901734,4.2953825,7.798598
8.043505,4.6327004,8.6198225
7.7375517,5.354821,8.52924
9.96384,4.276773,6.9550395
8.067848,5.968184,8.855829
8.146576,5.281086,8.7874365
9.150942,4.3307476,7.774939
7.7489185,5.096774,8.207336
7.926457,5.3570566,8.979594
9.582295,4.543324,7.45515
8.925181,4.228146,7.6616673
8.504129,6.102332,7.952014
8.494251,4.1602583,8.098787
8.278472,4.5678067,8.558162
8.722565,5.097183,7.9759383
8.93722,4.1885242,8.033266
8.920992,5.155181,7.8006077
9.85333,4.1695147,7.4844117
8.825768,6.2987533,8.644964
7.678221,5.565778,7.9610796
9.35395,4.815538,8.71446
8.817713,5.944224,8.747594
8.526741,5.3979125,8.879424
8.51618,4.735963,8.144625
8.526242,4.453465,7.394151
8.808134,4.976957,8.177231
9.099131,5.6420245,8.810401
8.562913,5.3163114,8.581434
7.817418,6.0703344,8.045114
8.563146,5.8622518,8.388279
8.896218,4.920931,8.648875
8.423416,5.166373,7.5046153
8.091151,5.020988,8.74293
8.064516,5.8832183,8.03205
8.376946,4.1693015,7.9882607
8.788366,4.9988084,7.866469
8.612183,4.762428,7.9567924
8.827757,4.3567715,8.124243
8.181874,5.776972,8.402944
8.00155,5.4940667,8.42466
7.703849,4.6633067,8.247784
9.0743,4.8872657,8.139577
9.369378,4.125749,7.672624
9.853704,4.5498796,8.281935
9.246602,4.669831,8.213892
8.835436,5.020441,8.726144
7.9913845,5.9604354,7.8883376
8.320845,5.151694,8.212482
9.527485,4.476906,6.9929957
7.8956614,5.23752,8.235206
9.006128,5.5160627,9.010286
9.6503,6.3272696,8.484032
8.713382,4.682173,8.770734
8.506394,4.350149,8.409179
9.787883,4.229389,7.710716
8.575413,4.3689885,7.498544
10.3361,4.1323457,7.000674
8.1544075,5.8694906,8.171006
8.501435,4.5563736,7.930022
9.424724,5.553667,8.621985
8.056358,5.0342827,7.8987093
8.586529,5.9723086,8.799656
9.387935,5.324658,8.814021
8.646058,5.236632,7.864524
7.8291078,4.9216213,8.703467
7.6387005,4.7419934,8.147523
7.9143095,4.94515,8.893313
10.151387,4.4135375,6.7266984
8.603624,5.397577,9.07881
9.138409,5.4160523,7.800702
8.995232,4.2496414,7.687005
8.061942,5.4559374,8.7523365
8.750661,4.271136,7.635356
8.006056,6.0673738,8.149281
10.0633545,4.882032,8.787841
8.2210455,5.507909,8.468582
8.586527,5.09195,7.9570575
8.376481,4.786312,7.836757
8.246848,5.5060854,8.61483
8.851088,5.2559786,8.743861
9.212991,6.395926,8.484655
8.214798,5.2733827,8.799857
8.212058,5.49213,7.779749
7.6430335,4.848347,8.001614
7.9237967,5.297954,8.590116
8.755783,4.7384486,8.206203
8.321716,5.0999436,8.884175
7.7587194,4.718563,7.8972797
7.8388324,4.997749,8.213844
9.008936,5.0811176,8.455672
8.31011,5.6577034,7.9097986
8.337007,5.3231916,7.940873
8.263156,5.991173,8.071797
8.921822,4.441055,8.299006
7.82729,5.3652124,8.436043
10.376176,4.7764363,6.6631346
9.956202,4.5067897,8.44336
8.421117,4.5718393,7.854377
8.142569,4.13178,8.181692
9.956593,4.625541,8.584138
8.255032,5.429668,8.356183
8.164395,4.303747,7.924854
8.620499,4.6546783,7.9361906
7.996679,5.9202104,8.453142
9.078412,5.648318,8.223073
9.918151,5.1424723,8.8413725
7.920342,5.9659815,7.97676
7.7224927,4.771377,8.568407
8.076304,5.3038106,8.470573
8.868404,5.158614,8.707418
8.022239,4.573239,7.640117
8.566298,4.878707,8.040838
8.4579735,4.7685003,8.825743
8.462453,6.158739,7.7928557
8.803526,4.181633,7.804932
9.344929,5.1067066,7.8912787
8.139871,5.8125687,8.229589
8.496984,4.4890966,8.009823
7.7947702,4.824744,8.221207
9.655013,4.184246,7.3451943
9.166496,5.478495,7.8522973
10.051788,6.085027,7.680371
8.230975,5.4181714,7.9821253
9.563873,4.7499375,8.418744
8.182988,5.7019653,8.438891
9.304551,4.220281,7.9111953
8.490071,5.766271,8.845213
8.088238,5.247159,8.630381
8.624665,4.5030384,7.7371554
10.141346,4.1602144,7.156484
9.080721,5.0362587,8.252752
8.370609,4.8297973,7.8052974
8.332348,5.2204165,8.916655
7.7516108,5.18313,7.7946453
8.340796,5.25963,8.132684
8.364323,5.2213163,8.164136
7.6555243,5.0812793,7.980301
8.324792,5.8621435,8.619059
8.498786,4.818975,8.367124
8.233063,6.274422,8.30557
7.6400733,4.8550644,8.462216
10.028682,3.9977465,7.1998334
8.178289,5.1580496,7.492528
10.073373,4.658129,8.579167
7.9382195,5.272423,7.9172916
7.8252993,5.149791,8.578432
8.136182,4.997313,8.592196
7.877871,5.187199,8.734602
8.057598,5.717621,7.8753204
7.9363356,4.5526967,8.311241
8.477456,4.7501717,8.951106
8.44851,4.370021,8.457301
14.02305,-17.116276,-25.120813
7.997551,4.872978,8.740729
8.069843,5.062982,8.731077
7.682744,5.1025,8.383196
8.657701,4.3307014,8.122049
9.190773,4.640407,8.024599
8.599652,4.700213,7.524714
7.8817153,4.878918,7.7462645
7.8240085,5.15567,8.555724
7.749061,5.8478327,8.370693
8.762498,4.190548,8.081109
8.932322,4.3265285,8.381574
9.040419,6.4599433,8.338121
8.867421,5.241633,8.772237
7.8100615,5.601017,8.454023
8.597339,4.384684,8.485805
8.358742,4.7629027,7.8838506
9.747461,4.558133,8.401863
8.329454,6.0744834,7.911709
8.295867,4.9125247,8.823901
8.350136,4.344764,8.08072
8.545048,4.52565,7.797852
8.296536,5.263998,7.5225534
9.174085,6.077701,8.139059
7.9398785,5.702243,8.160893
9.845618,5.88915,7.8585954
8.355425,4.725043,7.9574203
8.635039,5.913531,7.903923
7.9283247,5.9907885,8.764836
8.579317,6.413593,8.034649
8.629173,5.012895,8.979322
8.4349785,5.1117206,7.837749
8.686816,5.106185,8.258187
8.089887,4.622912,8.050548
7.897447,5.22897,7.770747
8.675818,5.90703,8.29834
7.8110595,5.095459,8.611224
8.264472,6.1096473,8.601498
8.305572,5.5220404,8.369502
8.063539,4.777915,7.7369494
7.50235,5.1568236,8.340271
8.5805,5.52369,8.827409
8.3128195,6.4818244,8.119909
8.711881,5.8458343,7.9320183
8.841215,5.6355047,8.231215
9.720443,4.6231184,8.538159
8.381258,4.6963573,7.26648
